Attributed Touch Time,Install Time,Event Time,Media Source,Channel,Campaign,Campaign ID,Region,Country Code,State,City,Postal Code,DMA,IP,WIFI,Operator,Carrier,Language,AppsFlyer ID,Advertising ID,IDFA,Android ID,Customer User ID,IMEI,IDFV,Platform,Device Type,OS Version,App Version,SDK Version,App ID,App Name,Bundle ID,Is Retargeting,Retargeting Conversion Type,Attribution Lookback,Reengagement Window,Is Primary Attribution,User Agent,HTTP Referrer,Original URL,Keyword ID,Store Reinstall,Device Download Time,Deeplink URL,OAID,Install App Store,Match Type,Contributor 1 Match Type,Contributor 2 Match Type,Contributor 3 Match Type,Device Category,Google Play Referrer,Google Play Click Time,Google Play Install Begin Time
26/04/20 11:21,27/04/20 11:07,27/04/20 11:07,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,MZ,Aizawl,796007,None,27.56.26.105,FALSE,airtel,airtel,English,1587965871490-5806218994284484036,32c039de-ae89-4b51-8ea0-946daf3083b7,,,,,,android,OPPO-CPH1909,8.1.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; CPH1909 Build/O11019),,,,,48:58.0,,,,srn,,,,phone,,,
27/04/20 11:03,27/04/20 11:06,27/04/20 11:06,FB,,VIT,,AS,IN,AP,Visakhapatnam,531163,356009,157.44.235.27,FALSE,airtel,IND airtel,English,1587965802253-7478408363080771777,72caf183-e39e-44d0-b316-7d0be73ff7c6,,,,,,android,motorola-Moto G (5S) Plus,8.1.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,7d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; Moto G (5S) Plus Build/OPS28.65-36-14),,https://app.appsflyer.com/cricketgames.hitwicket.strategy?pid=FB&c=VIT,,,35:19.0,,,,fingerprinting,,,,phone,,,
25/04/20 21:03,27/04/20 11:06,27/04/20 11:06,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,MP,Dhar,454001,None,157.34.17.76,FALSE,Jio 4G,Jio 4G,English,1587965785885-4789402367876064396,5a7247de-4533-449a-9862-fe53c0922d0c,,,,,,android,samsung-SM-J600G,8.0.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-J600G Build/R16NW),,,,,34:15.0,,,,srn,,,,phone,,,
27/04/20 10:56,27/04/20 11:05,27/04/20 11:05,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,WB,Purulia,723127,356003,157.43.219.15,FALSE,Jio 4G,Jio 4G,English,1587965741809-5868908879115855663,d6f8560b-7dd7-4135-a43e-0fd42e5b3ab8,,,,,,android,samsung-SM-J701F,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; SM-J701F Build/PPR1.180610.011),,,,,35:04.0,,,,srn,,,,phone,,,
27/04/20 10:52,27/04/20 11:05,27/04/20 11:05,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,GJ,Botad,380023,356008,42.106.12.83,FALSE,Vodafone IN,Vodafone-Be Safe,English,1587965661319-544031209279058225,06dc7ac4-7583-41c8-b512-898214d362d2,,,,,,android,OPPO-CPH1945,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; CPH1945 Build/PPR1.180610.011),,,,,29:13.0,,,,srn,,,,phone,,,
27/04/20 10:59,27/04/20 11:05,27/04/20 11:05,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,UP,Ghaziabad,201201,356001,139.167.90.216,FALSE,Jio 4G,Jio 4G,English,1587965723588-5448244732475527899,fa421f6b-c0b0-4177-9194-7dd7352ebe4d,,,,,,android,samsung-SM-G610F,8.1.0,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-G610F Build/M1AJQ),,,,,30:51.0,,,,srn,,,,phone,,,
18/04/20 15:01,27/04/20 11:04, ,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,PB,Fatehgarh Churian,143602,None,157.39.18.56,FALSE,Jio 4G,Jio 4G,English,1587965680675-3176634951824772065,e7a12528-7b7d-4da0-ac17-72f4f6e12fa3,,,,,,android,motorola-Moto G (5S),7.1.1,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 7.1.1; Moto G (5S) Build/NPPS26.102-55-8),,,,,33:07.0,,,,srn,,,,phone,,,
27/04/20 11:00,27/04/20 11:04,27/04/20 11:04,googleadwords_int,UAC_Search,Superstars - Android,9644181011,AS,IN,AP,Chittoor,517503,356009,157.47.124.250,FALSE,Jio 4G,Jio 4G,English,1587965642643-240240076312593549,1657603c-868b-47e4-a987-c13c2c68679c,,,,,,android,samsung-SM-J600G,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; SM-J600G Build/PPR1.180610.011),,,,,32:50.0,,,,srn,,,,phone,,,
27/04/20 10:47,27/04/20 11:02,27/04/20 11:02,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,WB,Athpur,743128,356003,47.15.253.255,FALSE,Jio 4G,Jio 4G,English,1587965567915-5141319386431006582,b97f9da8-ac41-43a8-b108-b1fefdaa8db1,,,,,,android,HONOR-BND-AL10,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; BND-AL10 Build/HONORBND-AL10),,,,,21:08.0,,,,srn,,,,phone,,,
26/04/20 23:57,27/04/20 11:02,27/04/20 11:02,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,HR,Gurgaon,122001,356001,47.31.188.97,FALSE,Jio 4G,Jio 4G,English,1587965560108-4771816569626808222,1dd6450b-d8f7-4e8f-8e51-bd05338a9713,,,,,,android,xiaomi-Redmi Note 7,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; Redmi Note 7 MIUI/V11.0.9.0.PFGINXM),,,,,28:54.0,,,,srn,,,,phone,,,
27/04/20 10:59,27/04/20 11:01,27/04/20 11:01,googleadwords_int,UAC_Display,Superstars - Android,9644181011,AS,IN,HR,Gurgaon,122101,356001,103.195.202.68,FALSE,Jio 4G,Jio 4G,English,1587965464736-174527281727684219,35ee9c73-f4b2-46c6-ae9f-b02fbe3e76e7,,,,,,android,xiaomi-Redmi Note 7 Pro,9,3.3.10,v5.2.0,cricketgames.hitwicket.strategy,Hitwicket» Superstars 2020 - Cricket Strategy Game,cricketgames.hitwicket.strategy,FALSE,,30d,,,Dalvik/2.1.0 (Linux; U; Android 9; Redmi Note 7 Pro MIUI/V11.0.8.0.PFHINXM),,,,,30:09.0,,,,srn,,,,phone,,,
